404: Not Found,merchant_text,amount,category
,INOX Movies,619.0,Entertainment
,Amazon Prime Video Delhi,420.0,Entertainment
,Cure Fit Hyderabad,822.0,Healthcare
,Yatra Ahmedabad,694.0,Travel
,Society Maintenance Rent,19552.0,Rent
,Zerodha Trading Delhi,9317.0,Investment
,Ola Auto,3948.0,Travel
,Cafe Coffee Day,827.0,Food
,Amazon Prime Video,885.0,Entertainment
,House Rent NEFT,13962.0,Rent
,Reliance Digital #61931,3968.0,Shopping
,Yatra #13240,1984.0,Travel
,UPI Transfer Noida,4838.0,Transfer
,ACT Broadband Store,1361.0,Bills
,IMPS Transfer Gurgaon,4105.0,Transfer
,Groww Investment Transaction,8684.0,Investment
,Star Bazaar Jaipur,1526.0,Groceries
,Paytm Wallet Load,2200.0,Transfer
,Ola Cabs Transaction,4776.0,Travel
,SpiceJet Ahmedabad,3466.0,Travel
,Angel One,5670.0,Investment
,Ajio #65038,4948.0,Shopping
,Metro Cash and Carry,1136.0,Groceries
,Nature's Basket Ahmedabad,2559.0,Groceries
,BSNL,965.0,Bills
,Grofers Store,534.0,Groceries
,Faasos Pune,294.0,Food
,Croma Electronics Jaipur,1916.0,Shopping
,GoAir #80069,1866.0,Travel
,Grofers Noida,2897.0,Groceries
,Rent Payment Landlord #54242,19904.0,Rent
,Star Bazaar,2505.0,Groceries
,PVR Cinemas Jaipur,320.0,Entertainment
,Amazon Prime Video,863.0,Entertainment
,Cafe Coffee Day,860.0,Food
,Domino's Pizza Chennai,330.0,Food
,IMPS Transfer Bill,4512.0,Transfer
,House Rent NEFT #95454,19063.0,Rent
,Practo Consultation Delivery,300.0,Healthcare
,Netmeds Noida,902.0,Healthcare
,Society Maintenance Rent Kochi,21650.0,Rent
,BSNL Pune,1465.0,Bills
,Behrouz Biryani Ahmedabad,485.0,Food
,Angel One,9626.0,Investment
,Nature's Basket Kolkata,306.0,Groceries
,Nature's Basket Transaction,508.0,Groceries
,Amazon Prime Video Gurgaon,481.0,Entertainment
,Decathlon Sports #17551,5625.0,Shopping
,Pizza Hut Kolkata,356.0,Food
,SonyLIV #70547,622.0,Entertainment
,Cult Fit Membership,1960.0,Healthcare
,SpiceJet,4548.0,Travel
,Jio Recharge Kolkata,1136.0,Bills
,Gas Pipeline,1509.0,Bills
,IMPS Transfer,2929.0,Transfer
,Cinepolis,523.0,Entertainment
,Vodafone Idea Jaipur,1631.0,Bills
,Tata Sky Purchase,1150.0,Bills
,Rent Payment Landlord Noida,16993.0,Rent
,ZEE5 Subscription Outlet,826.0,Entertainment
,Air India,3513.0,Travel
,Faasos Delivery,826.0,Food
,Society Maintenance Rent Delivery,9387.0,Rent
,Domino's Pizza Delhi,426.0,Food
,Grofers Order,758.0,Groceries
,Gas Pipeline Bangalore,1308.0,Bills
,More Supermarket Hyderabad,1932.0,Groceries
,Vodafone Idea,773.0,Bills
,IMPS Transfer #1679,4608.0,Transfer
,LIC Premium,2033.0,Investment
,Angel One Store,6060.0,Investment
,Amazon Prime Video Store,261.0,Entertainment
,PVR Cinemas Mumbai,679.0,Entertainment
,ICICI Direct Mumbai,9991.0,Investment
,Netflix #38938,435.0,Entertainment
,MTNL Kochi,2155.0,Bills
,Society Maintenance Rent #60988,9211.0,Rent
,Flat Rent Transfer Store,23315.0,Rent
,BigBasket Booking,2475.0,Groceries
,Flipkart Purchase,2576.0,Shopping
,Hotstar Delhi,349.0,Entertainment
,Airtel Postpaid Transaction,1536.0,Bills
,SBI Mutual Fund,1713.0,Investment
,Apollo Pharmacy #87363,1217.0,Healthcare
,Society Maintenance Rent,24095.0,Rent
,GoAir Chennai,2811.0,Travel
,GoAir,5102.0,Travel
,ICICI Direct Store,1857.0,Investment
,SBI Mutual Fund #82633,8489.0,Investment
,Tata Cliq Pune,5606.0,Shopping
,Snapdeal Transaction,667.0,Shopping
,ACT Broadband Transaction,2032.0,Bills
,Gas Pipeline Delhi,1438.0,Bills
,BSNL,736.0,Bills
,Electricity Board #72118,2042.0,Bills
,PPF Deposit,3712.0,Investment
,UPI Transfer,1862.0,Transfer
,Bank NEFT Transfer Order,2404.0,Transfer
,PhonePe to Friend Kolkata,4240.0,Transfer
,Blinkit #68033,773.0,Groceries
,Decathlon Sports Delhi,1977.0,Shopping
,RedBus,4937.0,Travel
,Netmeds Mumbai,1761.0,Healthcare
,Starbucks Pune,184.0,Food
,House Rent NEFT,10430.0,Rent
,Pizza Hut #8331,314.0,Food
,Uber #32266,1094.0,Travel
,Paytm Money,2680.0,Investment
,Zomato Store,899.0,Food
,Apollo Pharmacy,1676.0,Healthcare
,Max Healthcare Hyderabad,1464.0,Healthcare
,PPF Deposit Chennai,1854.0,Investment
,Practo Consultation #61852,1585.0,Healthcare
,Cult Fit Membership Jaipur,1944.0,Healthcare
,Zomato Bangalore,418.0,Food
,Apollo Pharmacy Pune,1767.0,Healthcare
,Barbeque Nation Purchase,601.0,Food
,PPF Deposit Purchase,3962.0,Investment
,Lifestyle Stores Jaipur,3516.0,Shopping
,PG Rent Payment,23512.0,Rent
,Paytm Wallet Load #41970,2715.0,Transfer
,KFC Kochi,513.0,Food
,Netflix Delivery,552.0,Entertainment
,Vodafone Idea Kochi,2231.0,Bills
,Spotify Premium,457.0,Entertainment
,MTNL Noida,782.0,Bills
,UPI Transfer #40294,3990.0,Transfer
,Amazon Prime Video Gurgaon,748.0,Entertainment
,Netflix #86918,177.0,Entertainment
,Uber Kolkata,3250.0,Travel
,Rapido Bike Kolkata,4811.0,Travel
,1mg Pharmacy Kolkata,509.0,Healthcare
,Flat Rent Transfer Delivery,21460.0,Rent
,Paytm Money #99617,8355.0,Investment
,Ola Auto #49351,1434.0,Travel
,Cafe Coffee Day #45587,194.0,Food
,DMart Store,1584.0,Groceries
,Wow Momo Mumbai,332.0,Food
,Ola Auto #74920,1845.0,Travel
,PhonePe to Friend Bill,3069.0,Transfer
,JioMart #21289,1077.0,Groceries
,Domino's Pizza Hyderabad,629.0,Food
,PharmEasy Kochi,603.0,Healthcare
,Lifestyle Stores,2901.0,Shopping
,McDonalds #23431,626.0,Food
,MTNL Noida,1771.0,Bills
,MTNL Jaipur,206.0,Bills
,1mg Pharmacy #95493,1721.0,Healthcare
,Bank NEFT Transfer Bangalore,4880.0,Transfer
,Flipkart Ahmedabad,2397.0,Shopping
,1mg Pharmacy Delivery,904.0,Healthcare
,Flat Rent Transfer,17307.0,Rent
,MTNL,1711.0,Bills
,DMart,910.0,Groceries
,Flipkart Bill,1234.0,Shopping
,Max Healthcare,1901.0,Healthcare
,Fortis Hospital #65139,1410.0,Healthcare
,Netmeds Transaction,1850.0,Healthcare
,Pizza Hut Transaction,86.0,Food
,Faasos Booking,542.0,Food
,Amazon Prime Video,143.0,Entertainment
,PhonePe to Friend Payment,1662.0,Transfer
,LIC Premium Bangalore,6780.0,Investment
,Cafe Coffee Day #90593,743.0,Food
,Pizza Hut Gurgaon,726.0,Food
,Cash Deposit Transfer #62814,610.0,Transfer
,PG Rent Payment #51678,19109.0,Rent
,McDonalds Jaipur,696.0,Food
,Flat Rent Transfer Pune,22318.0,Rent
,Paytm Money Mumbai,3538.0,Investment
,Amazon Prime Video #41966,537.0,Entertainment
,LIC Premium Payment,6072.0,Investment
,Max Healthcare,1999.0,Healthcare
,Flipkart Mumbai,4921.0,Shopping
,Haldiram's Bangalore,192.0,Food
,HDFC Mutual Fund SIP Store,2381.0,Investment
,Water Board #55387,1542.0,Bills
,McDonalds Transaction,765.0,Food
,Flipkart #35675,5520.0,Shopping
,Swiggy Delivery,99.0,Food
,Air India Outlet,4469.0,Travel
,Amazon,3040.0,Shopping
,UPI Transfer Noida,3214.0,Transfer
,MakeMyTrip #99032,5944.0,Travel
,Flat Rent Transfer,13704.0,Rent
,PharmEasy Jaipur,1389.0,Healthcare
,Decathlon Sports,2663.0,Shopping
,Flat Rent Transfer Payment,12511.0,Rent
,UPI Transfer #54788,4210.0,Transfer
,House Rent NEFT,22585.0,Rent
,Nature's Basket Bangalore,2672.0,Groceries
,1mg Pharmacy Store,371.0,Healthcare
,Rapido Bike,3912.0,Travel
,SonyLIV Delhi,520.0,Entertainment
,MakeMyTrip Outlet,4908.0,Travel
,Tata Cliq Chennai,3188.0,Shopping
,IRCTC Railways #9418,3458.0,Travel
,Flat Rent Transfer,9061.0,Rent
,1mg Pharmacy Gurgaon,1012.0,Healthcare
,Flat Rent Transfer Order,18876.0,Rent
,PharmEasy,1470.0,Healthcare
,JioMart,1316.0,Groceries
,Amazon Prime Video Noida,794.0,Entertainment
,Blinkit #75085,2441.0,Groceries
,Paytm Money,4084.0,Investment
,PhonePe to Friend Outlet,1340.0,Transfer
,Metro Cash and Carry Store,2852.0,Groceries
,Netflix Jaipur,820.0,Entertainment
,Hotstar #85599,251.0,Entertainment
,Flat Rent Transfer Hyderabad,9373.0,Rent
,Decathlon Sports,1990.0,Shopping
,Netmeds Chennai,538.0,Healthcare
,Max Healthcare,1023.0,Healthcare
,Medplus Store #79116,155.0,Healthcare
,Amazon Prime Video Booking,180.0,Entertainment
,McDonalds Store,432.0,Food
,PVR Cinemas #87223,810.0,Entertainment
,Burger King Mumbai,632.0,Food
,Ola Auto Hyderabad,1054.0,Travel
,Water Board Delivery,647.0,Bills
,1mg Pharmacy #31162,1393.0,Healthcare
,UPI Transfer Pune,4318.0,Transfer
,Wow Momo Delhi,533.0,Food
,Metro Cash and Carry,772.0,Groceries
,Hotstar #50060,256.0,Entertainment
,Practo Consultation Mumbai,284.0,Healthcare
,MTNL,435.0,Bills
,Apartment Rent Mumbai,13307.0,Rent
,Vodafone Idea,586.0,Bills
,Vistara Airlines,720.0,Travel
,Jio Recharge Delivery,1563.0,Bills
,Apartment Rent Delhi,10154.0,Rent
,Apartment Rent #78569,13052.0,Rent
,Domino's Pizza,394.0,Food
,Upstox Trading Noida,3317.0,Investment
,Apollo Pharmacy Ahmedabad,218.0,Healthcare
,Tata Cliq #13196,2810.0,Shopping
,Medplus Store Noida,1348.0,Healthcare
,Ola Auto Hyderabad,5283.0,Travel
,Angel One,2108.0,Investment
,Apartment Rent Bangalore,10661.0,Rent
,Rapido Bike #69327,4029.0,Travel
,Zerodha Trading #12835,9307.0,Investment
,Max Healthcare #68271,1365.0,Healthcare
,Max Healthcare Hyderabad,1967.0,Healthcare
,Society Maintenance Rent Delhi,17514.0,Rent
,IndiGo Airlines Outlet,5608.0,Travel
,Apartment Rent Ahmedabad,20155.0,Rent
,Star Bazaar Mumbai,471.0,Groceries
,MakeMyTrip,4195.0,Travel
,H&M,5112.0,Shopping
,Angel One #6130,5059.0,Investment
,Nature's Basket Order,1765.0,Groceries
,Apollo Pharmacy,773.0,Healthcare
,Urban Company Service #86175,478.0,Bills
,Hathway Broadband Payment,1959.0,Bills
,HDFC Mutual Fund SIP Store,3868.0,Investment
,SpiceJet #73667,1102.0,Travel
,Croma Electronics Store,964.0,Shopping
,Croma Electronics Delivery,2619.0,Shopping
,1mg Pharmacy #16292,436.0,Healthcare
,Vodafone Idea #38777,1790.0,Bills
,Rent Payment Landlord,18472.0,Rent
,Upstox Trading Delhi,7142.0,Investment
,Paytm Money,8840.0,Investment
,Rent Payment Landlord Kochi,22358.0,Rent
,House Rent NEFT #81534,11061.0,Rent
,Cinepolis #55287,379.0,Entertainment
,MakeMyTrip Jaipur,63.0,Travel
,Paytm Wallet Load,4018.0,Transfer
,Lifestyle Stores #80905,1212.0,Shopping
,1mg Pharmacy,446.0,Healthcare
,Burger King Noida,521.0,Food
,Reliance Digital #80471,5283.0,Shopping
,Air India,1450.0,Travel
,Bank NEFT Transfer Hyderabad,3921.0,Transfer
,PVR Cinemas Hyderabad,885.0,Entertainment
,Groww Investment,8218.0,Investment
,PhonePe to Friend Kolkata,3525.0,Transfer
,BookMyShow Tickets Gurgaon,540.0,Entertainment
,Paytm Wallet Load,2709.0,Transfer
,Hotstar Kochi,571.0,Entertainment
,Netflix #7522,790.0,Entertainment
,IMPS Transfer Hyderabad,4694.0,Transfer
,Tata Sky,1375.0,Bills
,Rent Payment Landlord Hyderabad,20003.0,Rent
,Flat Rent Transfer,24888.0,Rent
,ZEE5 Subscription Noida,423.0,Entertainment
,Nature's Basket Chennai,456.0,Groceries
,SpiceJet,1684.0,Travel
,SBI Mutual Fund Booking,1672.0,Investment
,HDFC Mutual Fund SIP #76372,4963.0,Investment
,Angel One Purchase,4271.0,Investment
,BookMyShow Tickets Booking,476.0,Entertainment
,Practo Consultation Payment,438.0,Healthcare
,IRCTC Railways Kolkata,5744.0,Travel
,Bank NEFT Transfer Purchase,3865.0,Transfer
,Lifestyle Stores #75607,2764.0,Shopping
,Medplus Store #83242,1473.0,Healthcare
,UPI Transfer Transaction,4174.0,Transfer
,SpiceJet Ahmedabad,1548.0,Travel
,PharmEasy Outlet,178.0,Healthcare
,Ola Auto Purchase,5434.0,Travel
,Spotify Premium Chennai,302.0,Entertainment
,Ajio #85659,4420.0,Shopping
,Bank NEFT Transfer Jaipur,4460.0,Transfer
,BSNL,1345.0,Bills
,Myntra Mumbai,2919.0,Shopping
,Blinkit,1078.0,Groceries
,Vistara Airlines #17334,5956.0,Travel
,House Rent NEFT Delivery,20037.0,Rent
,ZEE5 Subscription #85239,670.0,Entertainment
,Hotstar Pune,895.0,Entertainment
,Ajio #35687,5810.0,Shopping
,GPay Transfer,2551.0,Transfer
,HDFC Mutual Fund SIP Outlet,9224.0,Investment
,PharmEasy Delhi,1125.0,Healthcare
,MakeMyTrip #61946,3679.0,Travel
,Cash Deposit Transfer Mumbai,2479.0,Transfer
,BSNL Chennai,268.0,Bills
,UPI Transfer Delivery,2440.0,Transfer
,Burger King,853.0,Food
,Nature's Basket,1232.0,Groceries
,GPay Transfer #63094,4354.0,Transfer
,Paytm Money Pune,4891.0,Investment
,Uber Ahmedabad,5067.0,Travel
,Apartment Rent,16996.0,Rent
,Burger King #53296,767.0,Food
,Uber #7826,2926.0,Travel
,Zepto Gurgaon,2576.0,Groceries
,Hathway Broadband #38667,1081.0,Bills
,JioMart Mumbai,1383.0,Groceries
,Gas Pipeline #37458,893.0,Bills
,Tata Cliq #58080,1842.0,Shopping
,PharmEasy Ahmedabad,909.0,Healthcare
,Ola Auto Kolkata,4038.0,Travel
,Faasos Payment,126.0,Food
,Subway,599.0,Food
,McDonalds,559.0,Food
,IndiGo Airlines #86426,389.0,Travel
,Vistara Airlines,3685.0,Travel
,Reliance Digital Payment,5299.0,Shopping
,PPF Deposit Payment,5720.0,Investment
,Society Maintenance Rent,9879.0,Rent
,Tata Cliq,2835.0,Shopping
,PhonePe to Friend Hyderabad,1254.0,Transfer
,Star Bazaar Pune,2685.0,Groceries
,Haldiram's Mumbai,820.0,Food
,Urban Company Service,1253.0,Bills
,Apartment Rent Chennai,22623.0,Rent
,1mg Pharmacy Order,274.0,Healthcare
,House Rent NEFT Ahmedabad,8861.0,Rent
,Yatra,3134.0,Travel
,LIC Premium #62487,8349.0,Investment
,Flat Rent Transfer,15388.0,Rent
,Starbucks Ahmedabad,642.0,Food
,Bank NEFT Transfer Delhi,3630.0,Transfer
,PG Rent Payment Booking,19289.0,Rent
,Snapdeal Booking,5288.0,Shopping
,Spotify Premium,156.0,Entertainment
,Gas Pipeline Delhi,1111.0,Bills
,Fortis Hospital Gurgaon,384.0,Healthcare
,Spotify Premium Store,173.0,Entertainment
,Electricity Board,1130.0,Bills
,Myntra Kochi,2889.0,Shopping
,Swiggy Booking,509.0,Food
,Gas Pipeline Bill,614.0,Bills
,UPI Transfer Order,418.0,Transfer
,Rent Payment Landlord,16672.0,Rent
,ICICI Direct Noida,3463.0,Investment
,Grofers Hyderabad,965.0,Groceries
,Flipkart Kolkata,4090.0,Shopping
,Paytm Money #51052,9239.0,Investment
,Cash Deposit Transfer Kochi,2661.0,Transfer
,UPI Transfer Order,4989.0,Transfer
,Decathlon Sports Delivery,3191.0,Shopping
,PharmEasy #29183,1030.0,Healthcare
,Air India Hyderabad,1693.0,Travel
,More Supermarket #88416,721.0,Groceries
,Water Board #61981,1328.0,Bills
,Tata Cliq Delhi,3682.0,Shopping
,BigBasket,1268.0,Groceries
,Hotstar Mumbai,178.0,Entertainment
,Swiggy Bill,682.0,Food
,Subway Delivery,83.0,Food
,INOX Movies #78518,157.0,Entertainment
,Tata Sky Booking,1695.0,Bills
,PharmEasy Purchase,1963.0,Healthcare
,H&M Delivery,4934.0,Shopping
,Air India Kolkata,5219.0,Travel
,Starbucks #90192,512.0,Food
,House Rent NEFT Order,12068.0,Rent
,House Rent NEFT,8849.0,Rent
,Lifestyle Stores #26928,3882.0,Shopping
,Apartment Rent Delhi,21910.0,Rent
,BSNL Jaipur,742.0,Bills
,INOX Movies Chennai,819.0,Entertainment
,Gas Pipeline Purchase,846.0,Bills
,Hotstar Transaction,572.0,Entertainment
,ZEE5 Subscription Transaction,146.0,Entertainment
,Apartment Rent,13242.0,Rent
,IndiGo Airlines Gurgaon,4303.0,Travel
,Reliance Fresh Delivery,1175.0,Groceries
,Angel One Booking,1333.0,Investment
,Ola Auto #68000,3936.0,Travel
,Bank NEFT Transfer Pune,2265.0,Transfer
,PG Rent Payment,10416.0,Rent
,Blinkit Kolkata,1386.0,Groceries
,Domino's Pizza Delivery,730.0,Food
,SpiceJet Store,2506.0,Travel
,McDonalds #10071,858.0,Food
,Flat Rent Transfer Outlet,13460.0,Rent
,INOX Movies,459.0,Entertainment
,Snapdeal Transaction,5445.0,Shopping
,Tata Cliq Noida,839.0,Shopping
,Haldiram's Ahmedabad,496.0,Food
,Cure Fit,253.0,Healthcare
,Hathway Broadband,1174.0,Bills
,Urban Company Service #82973,1960.0,Bills
,PPF Deposit Delhi,1311.0,Investment
,Groww Investment,6727.0,Investment
,GPay Transfer #7880,920.0,Transfer
,MTNL Kolkata,1106.0,Bills
,Reliance Digital Gurgaon,4908.0,Shopping
,IRCTC Railways,1105.0,Travel
,Amazon Prime Video Kolkata,121.0,Entertainment
,PPF Deposit #44583,3185.0,Investment
,Blinkit,2227.0,Groceries
,Spotify Premium #15918,453.0,Entertainment
,Pizza Hut Delhi,772.0,Food
,Bank NEFT Transfer Kolkata,4230.0,Transfer
,DMart Booking,1386.0,Groceries
,Ajio Ahmedabad,2665.0,Shopping
,KFC Payment,720.0,Food
,House Rent NEFT,17357.0,Rent
,Angel One #48696,7108.0,Investment
,Angel One Kolkata,2502.0,Investment
,Netflix,675.0,Entertainment
,BigBasket Mumbai,2909.0,Groceries
,Cure Fit Jaipur,574.0,Healthcare
,Cult Fit Membership Order,506.0,Healthcare
,Urban Company Service Mumbai,2077.0,Bills
,Pizza Hut #11458,318.0,Food
,Cult Fit Membership,1633.0,Healthcare
,BookMyShow Tickets Noida,534.0,Entertainment
,BSNL,667.0,Bills
,Ola Auto Kolkata,2339.0,Travel
,Paytm Wallet Load,2325.0,Transfer
,Flat Rent Transfer Noida,14262.0,Rent
,Bank NEFT Transfer Chennai,2467.0,Transfer
,Apartment Rent Store,17132.0,Rent
,Urban Company Service Delivery,523.0,Bills
,Paytm Wallet Load #27090,4270.0,Transfer
,Snapdeal Store,2411.0,Shopping
,Groww Investment #83346,2698.0,Investment
,House Rent NEFT Delhi,22812.0,Rent
,Wow Momo Mumbai,365.0,Food
,HDFC Mutual Fund SIP Payment,6649.0,Investment
,GPay Transfer,3326.0,Transfer
,Electricity Board Jaipur,686.0,Bills
,Cafe Coffee Day Kochi,815.0,Food
,1mg Pharmacy #45396,1797.0,Healthcare
,LIC Premium Chennai,8740.0,Investment
,Uber Outlet,5992.0,Travel
,Airtel Postpaid Delivery,212.0,Bills
,Tata Cliq Outlet,3155.0,Shopping
,ZEE5 Subscription Order,259.0,Entertainment
,Cinepolis,878.0,Entertainment
,Flat Rent Transfer Pune,17687.0,Rent
,Medplus Store Purchase,375.0,Healthcare
,Cure Fit Purchase,334.0,Healthcare
,Yatra Jaipur,5498.0,Travel
,Metro Cash and Carry #54264,2842.0,Groceries
,Spotify Premium Ahmedabad,329.0,Entertainment
,Reliance Fresh Kochi,1162.0,Groceries
,Groww Investment Delhi,6493.0,Investment
,Apollo Pharmacy #29477,1058.0,Healthcare
,Myntra,2468.0,Shopping
,Zerodha Trading Ahmedabad,9782.0,Investment
,Rapido Bike Outlet,2732.0,Travel
,Zomato,490.0,Food
,Reliance Fresh Delhi,1263.0,Groceries
,More Supermarket Ahmedabad,1732.0,Groceries
,Vodafone Idea Gurgaon,2087.0,Bills
,Angel One Noida,7937.0,Investment
,Reliance Fresh #44540,1986.0,Groceries
